2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Yapimaks Scraper basliyor (async)
2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-21 07:38:47 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-21 07:38:48 [INFO] Cookie basariyla alindi.
2026-09-21 07:38:48 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-21 07:38:49 [INFO] Sitemap'ten toplam 8389 urun URL'si bulundu.
2026-09-21 07:38:49 [INFO] Dunun dosyasi: 2026-09-20.csv
2026-09-21 07:38:49 [INFO] Dunun dosyasinda 8594 urun var.
2026-09-21 07:38:49 [INFO] GUNLUK BUTCE: 1224 urun aday — hepsi bu koşuda tazelenir.
2026-09-21 07:38:49 [INFO] Tasinacak (degismeyen) urun: 8594 | Yeniden cekilecek: 1224
2026-09-21 07:40:43 [INFO] [13718] '0.40*86*2000 TRAPEZ (BEYAZ)' | 420.00 TL | SKU: RALL.9002.040.2000
2026-09-21 07:40:44 [INFO] [15816] 'AÇILI ÇEKTİRME ŞEFFAF T BAĞLANTI 100 ADE' | 10.00 TL | SKU: NOBEL.3333195
2026-09-21 07:40:46 [INFO] [4259] '0.30*875*300 OLUKLU' | 450.00 TL | SKU: GLV.SAC.030.3000
2026-09-21 07:40:47 [INFO] [12624] 'SU DEPOSU 2000 LT BEYAZ YATAY 107X116X19' | 11750.00 TL | SKU: SU DEPOSU.2000.004
2026-09-21 07:40:48 [INFO] [13724] '0.40*86*2000 TRAPEZ (GRİ)' | 430.00 TL | SKU: RALL.7016.040.2000
2026-09-21 07:40:49 [INFO] [13721] '0.40*86*2500 TRAPEZ (BORDO)' | 525.00 TL | SKU: RALL.3009.040.2500
2026-09-21 07:40:51 [INFO] [13725] '0.40*86*2500 TRAPEZ (GRİ)' | 537.50 TL | SKU: RALL.7016.040.2500
2026-09-21 07:40:52 [INFO] [15812] 'ACİL DURUM LED AYDINLATMA 1200 LM AC02-0' | 2300.00 TL | SKU: ACK.AC02-00330
2026-09-21 07:40:53 [INFO] [15404] 'LED PANEL SENSÖRLÜ 6400K 220Q SLİM BEYAZ' | 440.00 TL | SKU: CATA.9247B
2026-09-21 07:40:53 [INFO] ... ilerleme 100/1224 (tazelenen 99, basarisiz 1, korunan 1, atlanan 0)
2026-09-21 07:40:54 [INFO] [13720] '0.40*86*2000 TRAPEZ (BORDO)' | 420.00 TL | SKU: RALL.3009.040.2000
2026-09-21 07:40:56 [INFO] [14398] 'DORA 80 CM ÜST AYNA BEYAZ' | 2375.00 TL | SKU: LINEART.136
2026-09-21 07:40:57 [INFO] [13727] '0.40*86*4000 TRAPEZ (GRİ)' | 860.00 TL | SKU: RALL.7016.040.4000
2026-09-21 07:40:58 [INFO] [15011] '0.50*100*200(DÜZ SAC)' | 410.00 TL | SKU: GLV.SAC.050.100X200
2026-09-21 07:40:59 [INFO] [13728] '0.40*86*2500 TRAPEZ (BEYAZ)' | 525.00 TL | SKU: RALL.9002.040.2500
2026-09-21 07:41:01 [INFO] [13729] '0.40*86*3000 TRAPEZ (BEYAZ)' | 630.00 TL | SKU: RALL.9002.040.3000
2026-09-21 07:41:02 [INFO] [14764] '0.50*15*200 KAR TUTUCU AKSESUAR ANTRASİT' | 139.00 TL | SKU: RALL.7016.050.AKS.02
2026-09-21 07:41:03 [INFO] [14768] '0.50*15*200 KAR TUTUCU AKSESUAR BORDO' | 139.00 TL | SKU: RALL.3009.050.AKS.03
2026-09-21 07:41:04 [INFO] [14767] '0.50*15*200 L KÖŞE AKSESUAR BORDO' | 139.00 TL | SKU: RALL.3009.050.AKS.04
2026-09-21 07:41:06 [INFO] [14766] '0.50*25*25*2000 DÜZ MAHYA (BORDO)' | 390.00 TL | SKU: RALL.3009.050.MHY01
2026-09-21 07:41:07 [INFO] [4261] '0.40*86*250 TRAPEZ' | 462.50 TL | SKU: GLV.SAC.040.2500
2026-09-21 07:41:08 [INFO] [4262] '0.40*86*300 TRAPEZ' | 555.00 TL | SKU: GLV.SAC.040.3000
2026-09-21 07:41:09 [INFO] [7689] '0.50*3009 RULO SAC 30-CM' | 62.50 TL | SKU: RALL.3009.300.01
2026-09-21 07:41:11 [INFO] [7722] '0.50*1000*2000 DÜZ SAÇ (GRİ)' | 450.00 TL | SKU: RALL.7016.1000.02
2026-09-21 07:41:12 [INFO] [14765] '0.50*50*200 DERE AKSESUAR BORDO' | 390.00 TL | SKU: RALL.3009.050.AKS.02
2026-09-21 07:41:13 [INFO] [7724] '0.50*7016 RULO SAC A.GRİ 30-CM' | 65.00 TL | SKU: RALL.7016.300.01
2026-09-21 07:41:14 [INFO] [14791] '0.50*25*25*2000 DÜZ MAHYA (GRİ)' | 400.00 TL | SKU: RALL.7016.050.MHY02
2026-09-21 07:41:16 [INFO] [7727] '0.50*105*2000 TRAPEZ (BEYAZ)' | 520.00 TL | SKU: RALL.9002.050.2000
2026-09-21 07:41:17 [INFO] [14762] '0.50*50*200 DERE AKSESUAR ANTRASİT' | 400.00 TL | SKU: RALL.7016.050.AKS.01
2026-09-21 07:41:18 [INFO] [7738] '0.50*86*30*30 TRP MAHYA 9002-(BEYAZ)' | 230.00 TL | SKU: RALL.9002.050.MHY
2026-09-21 07:41:19 [INFO] [14769] '0.50*30*200 ALIN KAPAMA AKSESUAR BORDO' | 175.00 TL | SKU: RALL.3009.050.AKS.01
2026-09-21 07:41:21 [INFO] [7691] '0.50*86*2000 TRAPEZ (BORDO)' | 470.00 TL | SKU: RALL.3009.050.2000
2026-09-21 07:41:22 [INFO] [7694] '0.50*86*3500 TRAPEZ (BORDO)' | 822.50 TL | SKU: RALL.3009.050.3500
2026-09-21 07:41:23 [INFO] [7723] '0.50*86*30*30 TRP MAHYA 7016-(A.GRİ)' | 240.00 TL | SKU: RALL.7016.050.MHY
2026-09-21 07:41:24 [INFO] [7730] '0.50*86*4000 TRAPEZ (BEYAZ)' | 940.00 TL | SKU: RALL.9002.050.4000
2026-09-21 07:41:26 [INFO] [13722] '0.40*86*3000 TRAPEZ (BORDO)' | 630.00 TL | SKU: RALL.3009.040.3000
2026-09-21 07:41:27 [INFO] [7693] '0.50*86*3000 TRAPEZ (BORDO)' | 705.00 TL | SKU: RALL.3009.050.3000
2026-09-21 07:41:28 [INFO] [7697] '0.50*86*5000 TRAPEZ (BORDO)' | 1175.00 TL | SKU: RALL.3009.050.5000
2026-09-21 07:41:29 [INFO] [7708] '0.50*86*30*30 TRP MAHYA (BORDO)' | 225.00 TL | SKU: RALL.3009.050.MHY
2026-09-21 07:41:31 [INFO] [7698] '0.50*86*5500 TRAPEZ (BORDO)' | 1292.50 TL | SKU: RALL.3009.050.5500
2026-09-21 07:41:32 [INFO] [7734] '0.50*86*6000 TRAPEZ (BEYAZ)' | 1410.00 TL | SKU: RALL.9002.050.6000
2026-09-21 07:41:33 [INFO] [7731] '0.50*86*4500 TRAPEZ (BEYAZ)' | 1057.50 TL | SKU: RALL.9002.050.4500
