2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Yapimaks Scraper basliyor (async)
2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-19 07:02:58 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-19 07:02:59 [INFO] Cookie basariyla alindi.
2026-09-19 07:02:59 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-19 07:02:59 [INFO] Sitemap'ten toplam 8384 urun URL'si bulundu.
2026-09-19 07:02:59 [INFO] Dunun dosyasi: 2026-09-18.csv
2026-09-19 07:03:00 [INFO] Dunun dosyasinda 8586 urun var.
2026-09-19 07:03:00 [WARNING] GUNLUK BUTCE: 5617 urun cekilmeye aday, ilk 2500 tazelenecek; kalan 3117 yarin (en bayatlar önce) devam eder (self-heal).
2026-09-19 07:03:00 [INFO] Tasinacak (degismeyen) urun: 8586 | Yeniden cekilecek: 2500
2026-09-19 07:05:16 [INFO] [6098] 'İÇ CEPHE BOYASI RG3 (7.5 LT) MOMENTOMAX' | 2750.00 TL | SKU: FİLLİ.MOMENTOMAX.RG3.7,5L
2026-09-19 07:05:17 [INFO] [6087] 'İÇ CEPHE BOYASI RG5 (15 LT) MOMENTOMAX' | 4500.00 TL | SKU: FİLLİ.MOMENTOMAX.RG5.15L
2026-09-19 07:05:19 [INFO] [4575] 'HSS MATKAP UCU 15.5mm' | 235.00 TL | SKU: HSS.0155
2026-09-19 07:05:20 [INFO] [6095] 'İÇ CEPHE BOYASI RG4 (15 LT) MOMENTOMAX' | 4500.00 TL | SKU: FİLLİ.MOMENTOMAX.RG4.15L
2026-09-19 07:05:21 [INFO] [6088] 'İÇ CEPHE BOYASI RG5 (2.5 LT) MOMENTOMAX' | 1000.00 TL | SKU: FİLLİ.MOMENTOMAX.RG5.2,5L
2026-09-19 07:05:22 [INFO] [9613] 'İÇ CEPHE BOYASI TEMPO SİL MAT BAZ-2 10 K' | 1250.00 TL | SKU: TEMPO.0024
2026-09-19 07:05:24 [INFO] [6093] 'İÇ CEPHE BOYASI RG3 (15 LT) MOMENTOMAX' | 4500.00 TL | SKU: FİLLİ.MOMENTOMAX.RG3.15L
2026-09-19 07:05:25 [INFO] [10900] 'İÇ CEPHE BOYASI SİYAH MAT 3.5 KG BRİLLAN' | 375.00 TL | SKU: KARDELEN.044
2026-09-19 07:05:26 [INFO] [14810] 'İÇ CEPHE KOZMİK İPEK MİX-1 15LT FAWORİ' | 4500.00 TL | SKU: FAWORİ.2501-2483-02
2026-09-19 07:05:27 [INFO] [9597] 'İÇ CEPHE BOYASI TEMPO SİL MAT BAZ-2 3.5 ' | 450.00 TL | SKU: TEMPO.0006
2026-09-19 07:05:29 [INFO] [11570] 'HUNİ TAKIMI MİX 35-40 LIK BASKI SOMUNU' | 26.00 TL | SKU: KARPA.117
2026-09-19 07:05:30 [INFO] [14354] 'İÇ CEPHE KOZMİK İPEK MİX-1 7.5LT FAWORİ' | 2550.00 TL | SKU: FAWORİ.2501-2483-04
2026-09-19 07:05:31 [INFO] [11897] 'İÇ CEPHE PLASTİK BOYA ÖZEL BAZ-1 3.5 KG' | 450.00 TL | SKU: TEMPO.0055
