date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,sector
2026-09-06,siemens tb402410,siemens tb402410,epeykatfg,05,,,,-2.11680104696631,0.0,epeykatfg
2026-09-06,siemens wg64k2zrtr,siemens wg64k2zrtr,epeykatfg,05,,,,3.1123344624137905,6.156181514767667,epeykatfg
2026-09-06,silter magma mini mgm mn 1035,silter magma mini mgm mn 1035,epeykatfg,05,,,,-4.669770441582521,-1.8631478484584463,epeykatfg
2026-09-06,silverlit tooko ilk uzaktan kumandali dronum,silverlit tooko ilk uzaktan kumandali dronum,epeykatfg,09,,,,17.647058823529417,17.647058823529417,epeykatfg
2026-09-06,simfer gusto sk 4643,simfer gusto sk 4643,epeykatfg,05,,,,-2.267394270122791,-2.267394270122791,epeykatfg
2026-09-06,sinbo sbs 4472,sinbo sbs 4472,epeykatfg,13,,,,0.0,2.2222222222222143,epeykatfg
2026-09-06,sinbo sf 7704,sinbo sf 7704,epeykatfg,05,,,,-9.585013684587196,1.3002492144327693,epeykatfg
2026-09-06,sinbo sfc 4101,sinbo sfc 4101,epeykatfg,05,,,,-0.6598280086834163,-2.2727272727272596,epeykatfg
2026-09-06,sinbo shd 1708,sinbo shd 1708,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,sk hynix hma42gr7afr4n tf,sk hynix hma42gr7afr4n tf,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,sk hynix hma84gr7afr4n uh,sk hynix hma84gr7afr4n uh,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,skg hs500,skg hs500,epeykatfg,06,,,,,,epeykatfg
2026-09-06,skg ks700 e,skg ks700 e,epeykatfg,06,,,,33.30863831678768,33.30863831678768,epeykatfg
2026-09-06,skg ws500,skg ws500,epeykatfg,06,,,,0.0,,epeykatfg
2026-09-06,skg ys100,skg ys100,epeykatfg,06,,,,4.740814820106198,4.740814820106198,epeykatfg
2026-09-06,skygo zr1207,skygo zr1207,epeykatfg,08,,,,5.7892876082729305,,epeykatfg
2026-09-06,skygo zr288,skygo zr288,epeykatfg,08,,,,3.9312366737739968,-4.715943799633482,epeykatfg
2026-09-06,sleepy extra gunluk aktivite 1 beden 32 adet,sleepy extra gunluk aktivite 1 beden 32 adet,epeykatfg,13,,,,-12.510024057738578,-22.238061297220234,epeykatfg
2026-09-06,sleepy natural 0 beden 132 adet,sleepy natural 0 beden 132 adet,epeykatfg,13,,,,-1.0362694300518172,-71.99413489736071,epeykatfg
2026-09-06,sleepy natural 5 beden 224 adet,sleepy natural 5 beden 224 adet,epeykatfg,13,,,,30.961791831357054,,epeykatfg
2026-09-06,smartberry z40,smartberry z40,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,smate kj152,smate kj152,epeykatfg,05,,,,21.06053026513257,7.55555555555556,epeykatfg
2026-09-06,smeg linea tsf03pbeu,smeg linea tsf03pbeu,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,snopy sn 912,snopy sn 912,epeykatfg,08,,,,3.414714615638381,-8.999854841050947,epeykatfg
2026-09-06,soffio 6 beden 60 adet,soffio 6 beden 60 adet,epeykatfg,13,,,,53.739612188365626,53.739612188365626,epeykatfg
2026-09-06,spigen powerarc arcstation pro 45w,spigen powerarc arcstation pro 45w,epeykatfg,08,,,,12.269725408411535,12.272727272727257,epeykatfg
2026-09-06,sportplus hava direncli kurek makinesi,sportplus hava direncli kurek makinesi,epeykatfg,09,,,,0.7489005748141153,1.8946005848580194,epeykatfg
