Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
Kadin,301,M301505911-0046-0022,TURKUAZ KRUVAZE YELEK,23950.0,03,0.0,0.0,0.0
Kadin,301,M405941732-0037,MİNT KOLSUZ DİZ ALTI ELBİSE,27950.0,03,0.0,0.0,0.0
Kadin,301,M404556791-0046,TURKUAZ DAR PAÇA PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M405060016-0047,AÇIK MAVİ CEKET,45950.0,03,0.0,0.0,0.0
Kadin,301,M405300104-0088,CAMEL POLO YAKA TRİKO,10950.0,03,0.0,0.0,0.0
Kadin,301,M404497962-0038,MAVİ TRİKO ELBİSE,40950.0,03,0.0,0.0,0.0
Kadin,301,M404335680-0010,CEKET,55950.0,03,0.0,0.0,
Kadin,301,M404336096-0010,PANTOLON,30950.0,03,0.0,0.0,
Kadin,301,M405283115-0012-0089,BEYAZ O YAKA TRİKO,6950.0,03,0.0,0.0,0.0
Kadin,301,M404310033-0037,MİNT CEKET,55950.0,03,,,
Kadin,301,M301567006-0037,MİNT İPEK BLUZ,12950.0,03,0.0,0.0,0.0
Kadin,301,M301429640-0010,AÇIK GRİ ÇİZGİLİ PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M301429641-0010,AÇIK GRİ ÇİZGİLİ CEKET,35950.0,03,0.0,0.0,0.0
Kadin,301,M301689213-0041,LACİVERT KRUVAZE YAKA CEKET,32950.0,03,0.0,0.0,
Kadin,301,M301689212-0041,LACİVERT DOKULU BORU PAÇA PANTOLON,18950.0,03,0.0,0.0,
Kadin,301,M405282168-0010,ATLET,5950.0,03,0.0,0.0,0.0
Kadin,301,M405115011-0004-0038,BLUZ,20950.0,03,0.0,0.0,
Kadin,301,M404509403-0012,BEYAZ BOL PAÇA PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M405093713-0038,MAVİ CEKET,35950.0,03,0.0,0.0,0.0
Kadin,301,M404557222-0038-0009,MAVİ CEKET,45950.0,03,0.0,0.0,
Kadin,301,M404557223-0038-0009,MAVİ BOL PAÇA PANTOLON,25950.0,03,0.0,0.0,
