id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
ABC Pembe Tutku Yüzey Tezmizleyicisi 2500 Ml,Deterjan ve Temizlik,3183,109.9,05,0.0,0.0,57.22460658082975,0.0
ABC Renkliler İçin Sıvı Çamaşır Deterjanı 3000 Ml,Deterjan ve Temizlik,3167,219.9,05,0.0,0.0,57.18370264474625,0.0
Abc Soda Etkili Toz Deterjan 600 Gr,Deterjan ve Temizlik,12875,59.9,05,0.0,,0.0,0.0
ABC Soft Yumuşatıcı Frezya 5 Lt,Deterjan ve Temizlik,3171,199.9,05,0.0,0.0,53.88760585065435,0.0
ABC Ultra Çamaşır Suyu Bembeyaz 750 Ml,Deterjan ve Temizlik,11833,64.9,05,0.0,0.0,0.0,0.0
Ace Bahar Çamaşır Suyu 1 Lt,Deterjan ve Temizlik,8805,49.9,05,0.0,0.0,-33.37783711615488,-33.37783711615488
Ace Bahar Çamaşır Suyu 2 Lt,Deterjan ve Temizlik,1203,119.9,05,0.0,0.0,0.0,0.0
Ace Bahar Çamaşır Suyu 4 Lt,Deterjan ve Temizlik,10311,214.95,05,0.0,0.0,0.0,0.0
A.Lalin Disk Makyaj Pamuğu 70'li,Kişisel Bakım,6420,44.95,12,,0.0,0.0,0.0
A.Lalin Hidrofil Pamuk 100 Gr,Kişisel Bakım,6419,49.95,12,0.0,0.0,0.0,0.0
A.Lalin Hidrofil Pamuk 50 Gr,Kişisel Bakım,6418,29.95,12,0.0,0.0,0.0,
A.Lalin Pamuklu Kulak Çubuk 100'lü,Kişisel Bakım,6421,27.5,12,,,0.0,0.0
A.Lalin Pamuklu Kulak Çubuk Kare 200'lü,Kişisel Bakım,6422,44.95,12,,,,0.0
"Activex Aktif Koruma Antibakteriyel Sıvı Sabun 1,5 Lt",Kişisel Bakım,9771,299.9,12,0.0,0.0,100.06671114076049,0.0
Activex Antibakteriyel Aktif Koruma Sıvı Sabun 500 Ml,Kişisel Bakım,11578,99.9,12,0.0,0.0,-16.680567139282733,11.123470522803114
